place,state,type,best_months,budget,days,rating,crowd,safety,temperature,lat,lon,description
Goa,Goa,beach,"November December January",8000,4,4.5,high,8,28,15.2993,74.1240,beaches and nightlife
Gokarna,Karnataka,beach,"October November December",5000,3,4.3,low,9,27,14.5479,74.3188,peaceful beaches
Pondicherry,Tamil Nadu,beach,"November December January",6000,3,4.4,medium,8,29,11.9416,79.8083,french town and beaches
Kovalam,Kerala,beach,"September October November",7000,4,4.5,medium,9,27,8.4000,76.9784,scenic beach destination
Andaman,Andaman & Nicobar,beach,"November December January February",15000,5,4.8,low,9,28,11.7401,92.6586,island tourism

Munnar,Kerala,hill,"June July August September",7000,4,4.7,medium,9,18,10.0889,77.0595,tea plantations and greenery
Coorg,Karnataka,hill,"June July August",6500,3,4.6,medium,9,20,12.3375,75.8069,coffee estates and waterfalls
Ooty,Tamil Nadu,hill,"April May June",6000,3,4.5,high,8,19,11.4064,76.6932,cool climate destination
Shillong,Meghalaya,hill,"June July August September",8000,4,4.6,medium,9,17,25.5788,91.8933,scotland of east
Lonavala,Maharashtra,hill,"June July August",5000,2,4.4,high,8,22,18.7557,73.4091,monsoon destination

Manali,Himachal Pradesh,mountain,"April May June",9000,5,4.7,high,8,12,32.2396,77.1887,snow and adventure sports
Shimla,Himachal Pradesh,mountain,"March April May",8500,4,4.6,high,8,15,31.1048,77.1734,hill station beauty
Gangtok,Sikkim,mountain,"March April May October",9000,5,4.7,medium,9,14,27.3389,88.6065,beautiful landscapes
Leh,Ladakh,mountain,"June July August September",12000,6,4.9,low,7,8,34.1526,77.5770,high altitude desert

Jaipur,Rajasthan,heritage,"November December January",6000,3,4.5,high,8,24,26.9124,75.7873,palaces and forts
Udaipur,Rajasthan,heritage,"October November December",7000,3,4.6,medium,9,23,24.5854,73.7125,lake city
Hampi,Karnataka,heritage,"November December January",4000,2,4.7,low,9,26,15.3350,76.4600,ancient ruins
Mysore,Karnataka,heritage,"October November December",5000,3,4.6,medium,9,24,12.2958,76.6394,royal palace city
